T_Air,Q_Hou_Dem,P_PV,P_EL_Dem,QTWW,TpTWW,fTWW,Win_Speed,HGloHor
269.04999999999995,4621.65726,0.0,0.078407716,0.0,10.0,0.0,3.9,0
269.25,4636.5002700000005,0.0,0.083788779,0.0,10.0,0.0,2.7,0
268.84999999999997,4664.703759999999,0.0,1.33904863,0.735,55.0,4.0,3.4,0
268.54999999999995,4689.16934,0.0,0.54289057,0.105,25.0,3.0,4.0,0
268.45,4868.044989999999,0.0,1.118721699,1.715,40.0,15.0,3.7,10
268.95,5080.7397599999995,90.29417988414112,1.170901954,0.0,10.0,0.0,3.2,82
270.34999999999997,5129.37965,431.1187854590568,1.351691803,0.105,25.0,3.0,4.3,181
271.54999999999995,4187.18799,1044.0252047567064,2.027929203,0.0,10.0,0.0,4.2,239
272.45,3319.9598660000006,1407.8804409744084,0.107207173,0.0,10.0,0.0,4.6,246
272.84999999999997,2828.43213,1410.5640045713294,2.283356027,3.815,40.0,16.0,5.3,215
272.84999999999997,2726.80277,1060.348754351219,2.281830744,0.21,25.0,6.0,4.7,151
272.45,2974.23983,314.4077635643366,0.143005255,0.105,25.0,3.0,5.7,49
271.45,3342.1073199999996,-0.0,0.374638752,0.0,10.0,0.0,5.3,1
270.95,3658.41075,0.0,0.472447976,0.21,25.0,6.0,2.9,0
270.45,4125.04289,0.0,0.607207263,0.105,40.0,9.0,3.7,0
270.34999999999997,4507.07424,0.0,1.137055066,0.315,55.0,4.0,3.6,0
269.84999999999997,5223.966659999999,0.0,0.659378161,0.0,10.0,0.0,3.7,0
268.65,5323.221090000001,0.0,0.705515331,3.705,40.0,10.0,3.4,0
268.15,5243.41165,0.0,0.19974694,0.315,40.0,9.0,3.9,0
268.34999999999997,5105.36561,0.0,0.060780674,0.105,25.0,3.0,3.2,0
268.45,4961.493060000001,0.0,0.117450997,0.0,10.0,0.0,3.2,0
269.15,4830.63834,0.0,0.150985819,0.0,10.0,0.0,2.9,0
269.34999999999997,4729.18563,0.0,0.088416917,0.0,10.0,0.0,2.3,0
269.84999999999997,4652.91958,0.0,0.064271357,0.0,10.0,0.0,2.5,0
269.95,4598.5679,0.0,0.061585663,0.0,10.0,0.0,2.9,0
270.34999999999997,4553.89381,0.0,0.061061854,0.0,10.0,0.0,2.5,0
270.45,4516.32946,0.0,0.941331235,0.735,55.0,4.0,2.9,0
270.84999999999997,4474.17266,0.0,1.000560645,0.105,25.0,3.0,3.6,0
271.04999999999995,4417.99941,0.0,0.989787483,1.715,40.0,15.0,2.5,7
271.45,4527.648093500001,229.0293411213804,1.407669016,0.0,10.0,0.0,2.6,43
271.54999999999995,5088.84645,381.7005587826308,1.256740159,0.105,25.0,3.0,2.9,60
271.84999999999997,5007.794400000001,445.5837341484514,0.230095608,0.0,10.0,0.0,2.5,69
272.54999999999995,4791.02674,323.54135925958155,0.879915037,0.0,10.0,0.0,2.9,51
272.54999999999995,4599.76881,175.1951740506203,0.931954412,3.815,40.0,16.0,3.5,29
