Time,groundFloor.PI_livingroom.y,groundFloor.PI_hobby.y,groundFloor.PI_corridor.y,groundFloor.PI_WC.y,groundFloor.PI_kitchen.y,upperFloor.PI_bedroom.y,upperFloor.PI_children1.y,upperFloor.PI_bath.y,upperFloor.PI_children2.y
648000,282.13254,416.15195,155.24208,200.99403,512.51874,432.73645,366.5005,285.63513,425.2644
651600,32.80553,391.55475,144.00859,225.76337,301.43503,373.6348,350.50586,334.14886,266.28558
655200,34.001602,368.7851,135.20457,227.49829,232.15317,333.28516,325.42062,362.53052,193.8364
658800,169.18324,354.8881,127.512146,224.31117,256.51425,320.2379,310.75864,376.9725,176.36095
662400,319.24905,349.60416,121.45383,222.94632,306.76505,326.2978,310.4484,384.0991,182.65979
666000,431.0931,348.03555,117.703384,223.27054,349.06796,338.36508,316.12735,386.94843,201.96162
669600,497.5976,347.33835,115.889565,225.09683,374.87668,350.96396,321.36874,388.6794,223.4299
673200,266.61618,345.53894,115.08643,522.75244,106.336624,28.740532,323.04333,776.96844,49.930676
676800,531.1131,229.68706,115.25587,0,699.9248,215.4335,125.345825,0,514.78314
680400,603.7811,357.51053,116.74806,117.362785,747.3679,337.09323,288.52274,203.21556,547.2806
684000,622.15045,391.10306,119.649414,197.76173,645.8238,418.86392,370.21475,340.53793,483.68674
687600,623.84674,393.73297,123.08771,231.5115,563.4887,460.86404,393.73868,407.79907,423.52914
691200,624.09894,387.78882,127.06185,242.64359,510.81613,476.3797,391.10706,430.4128,381.1726
694800,624.15094,380.69742,129.84436,243.96024,480.5426,476.0429,379.53705,430.33398,355.45886
698400,625.2379,375.0356,131.79865,243.14616,465.33423,468.1226,367.95633,422.25082,342.21024
702000,629.6528,371.47165,133.99852,243.96645,460.11807,458.464,359.85565,413.8583,337.4266
705600,633.81104,368.85193,135.30763,244.56184,459.56595,448.74326,354.04013,406.95203,336.38254
709200,637.63635,366.84482,136.07584,245.14449,461.40952,440.20468,349.93933,402.02243,336.8215
712800,640.1465,364.92,136.05733,244.94708,463.85947,432.78253,346.40594,398.33624,337.13712
716400,640.22217,362.70245,134.94911,243.34012,465.70773,425.99567,342.63116,395.14767,336.4229
720000,637.6988,360.10886,133.00069,241.69092,463.97693,419.5053,338.32703,393.65533,332.1038
723600,387.6703,355.56583,130.6483,549.5443,114.00694,96.52005,331.09412,791.7141,55.91056
