Time,groundFloor.PI_livingroom.y,groundFloor.PI_hobby.y,groundFloor.PI_corridor.y,groundFloor.PI_WC.y,groundFloor.PI_kitchen.y,upperFloor.PI_bedroom.y,upperFloor.PI_children1.y,upperFloor.PI_bath.y,upperFloor.PI_children2.y
558000,996.8949,527.7331,237.88351,227.72762,1054.6824,637.8598,470.03674,241.59973,798.14435
561600,955.1003,509.50494,240.0053,317.98022,916.6334,652.1748,495.75485,410.9643,701.33563
565200,920.8336,483.4416,243.47684,361.7867,800.1345,644.74725,488.7993,496.58017,609.38385
568800,898.55884,464.17136,246.72556,377.5379,722.2317,629.3355,474.2665,527.13763,543.3099
572400,890.0878,453.7763,250.13878,383.75885,678.3875,614.90356,464.26642,530.7022,505.2487
576000,888.68506,448.50104,251.4317,384.59152,655.8167,602.94104,458.73038,523.43884,486.68085
579600,887.246,444.75528,249.84364,381.05594,643.3559,592.24927,454.2689,513.02484,477.99274
583200,883.56384,441.25385,246.44208,377.11838,632.97314,582.251,449.55728,505.2138,470.91888
586800,829.33966,439.06293,245.25739,846.4,147.94342,425.95926,446.95978,1038.3323,84.47903
590400,1055.0522,512.82733,249.41946,142.63426,1029.6436,608.33374,401.3006,23.341085,795.95496
594000,1053.5303,557.6028,257.76056,259.0754,1118.6005,677.48303,512.69073,261.1655,851.9453
597600,1036.0211,539.9595,267.85648,361.6339,983.78784,702.47955,545.91846,439.09116,759.8049
601200,1023.0861,515.77155,278.44687,415.05112,871.4598,704.9587,545.49506,530.8566,672.3475
604800,1016.881,498.67325,288.12485,437.87695,797.65137,697.42883,535.1743,565.09656,610.01324
608400,1014.9642,488.95135,295.6959,446.61942,754.40924,686.41046,524.638,569.28625,572.27844
612000,1013.88336,483.60065,300.16562,448.56076,730.2835,674.52295,515.91077,561.1916,551.6658
615600,1013.8845,481.06448,303.10394,449.3964,718.19055,664.0225,510.18655,551.08655,542.11285
619200,1014.71655,479.96396,305.0862,450.338,713.0962,655.616,506.6561,542.7333,538.6588
622800,1012.3509,478.24167,304.2298,447.94006,709.39453,647.34686,502.3677,535.59436,536.005
626400,1009.8628,476.90143,303.24664,446.3363,707.4622,640.55176,499.11423,530.70984,534.24756
630000,1009.9014,476.66623,303.85907,447.75946,708.08856,636.3853,498.02698,528.35944,534.11346
633600,1010.5716,476.62842,304.67673,451.40668,707.04297,633.6424,497.45575,529.5752,531.83435
637200,1060.1758,474.65143,304.21542,1022.50055,164.54163,571.06824,493.28644,1151.5616,91.91323
640800,1247.0042,623.1144,302.84067,263.66666,1130.3876,736.3178,505.31708,91.762,875.6297
644400,1176.4797,624.116,303.11462,327.2749,1206.7532,760.9895,563.02405,297.35443,918.6166
648000,1093.4852,571.8751,304.307,394.9768,1033.3484,743.8678,552.6817,450.50784,795.06995
651600,994.3065,521.9522,302.12158,420.48456,869.3674,704.00366,517.5169,523.4967,669.01843
655200,857.85547,484.5879,296.26678,419.38177,727.58124,649.7164,479.53006,543.74963,561.11957
658800,766.93304,460.62488,290.86945,414.6234,638.0335,601.16113,452.94037,541.3665,490.43433
662400,782.95386,454.65,288.95987,417.9488,614.4092,580.02795,450.35052,536.1824,466.6477
666000,837.692,457.56622,290.028,425.98456,621.29047,579.2669,461.71713,533.29803,471.22052
669600,884.517,461.31274,291.74307,434.2611,632.66486,586.28284,473.5009,533.6841,482.441
673200,948.478,463.61465,293.2161,991.4585,159.05785,520.599,481.0568,1141.625,89.96174
676800,1181.6449,617.2086,296.9188,250.33809,1135.3475,703.6435,502.6167,94.28003,879.9967
680400,1151.5665,628.07434,303.29236,334.2727,1222.0315,755.30164,583.81915,310.50626,935.4579
684000,1109.7931,584.926,310.89752,417.7223,1060.8306,763.99493,594.0382,474.34412,827.3208
687600,1078.5482,545.76086,318.5079,460.43677,927.46674,753.8557,580.42926,559.1334,725.69635
691200,1059.7147,521.19543,325.52945,478.58267,839.5716,737.8773,564.18823,590.7045,653.39557
694800,1050.338,508.64417,331.6246,486.35815,788.37604,722.3686,552.4193,594.79297,610.1632
698400,1048.5842,503.71375,337.20013,491.44836,762.14813,710.14453,546.1716,588.60376,588.683
702000,1052.3165,502.60986,341.95718,495.69586,750.8359,701.4232,543.5507,580.57166,580.4679
705600,1056.7467,502.61755,344.96823,498.04626,746.84534,694.8705,541.9581,573.43774,578.35736
709200,1062.857,503.4713,347.81232,501.00955,747.4998,690.773,541.7072,568.79364,579.49
712800,1071.0486,504.895,351.008,504.9943,750.99426,688.9366,542.5085,566.4517,582.1445
716400,1076.7289,505.8755,353.1558,507.44418,754.58234,687.68256,542.69196,564.9233,584.10095
720000,1080.8142,506.60248,354.7438,511.44003,755.5362,686.79553,542.5783,566.70966,582.93665
723600,1205.703,504.38834,353.14938,1153.1508,214.18312,688.2287,537.2623,1249.5052,99.16395
727200,1373.0591,700.9287,344.6272,352.79874,1211.4697,841.4754,587.2216,155.0583,924.48846
730800,1118.449,670.74896,331.65625,370.4451,1198.431,818.88544,609.435,313.53967,932.5621
734400,689.3347,590.6613,315.88666,398.4763,839.79834,719.9326,565.90393,407.89706,705.81836
738000,360.99368,522.77313,299.3251,399.42184,566.6698,610.5201,510.62076,459.12247,506.48087
741600,183.91393,476.6322,286.14395,393.12558,407.97336,522.191,468.07697,489.40665,381.79773
745200,191.79657,447.00092,276.50958,389.8571,361.1748,468.17667,443.05847,505.1878,330.99887
748800,382.1683,441.67166,273.5025,397.25748,419.24307,463.8844,447.4171,515.7313,334.29422
752400,569.8021,445.8605,276.09647,409.38565,491.20468,479.97192,463.34918,522.51117,360.38803
756000,708.38635,451.60007,281.5996,423.3084,543.1518,503.05313,478.66483,528.7491,391.58356
759600,821.1765,456.41858,287.89313,987.38086,150.6641,452.3602,489.34476,1140.8671,83.66388
763200,1085.4393,616.2773,294.66473,247.28992,1114.9017,646.47437,515.0379,94.935196,866.8072
766800,1061.6565,626.1217,302.79776,332.61642,1184.59,716.1656,594.7219,309.80856,918.1374
770400,1021.478,582.56055,312.09756,417.60193,1011.43756,738.44525,603.8596,474.9235,809.32007
774000,997.8218,543.4058,320.8517,461.20197,873.0469,737.1607,589.42145,560.5543,708.4783
777600,987.9729,518.4339,327.41528,477.86636,783.332,725.419,571.4533,591.8644,636.68726
781200,986.2014,505.11243,331.9505,482.80566,731.7364,710.8384,557.3698,594.998,593.3407
784800,988.6477,498.96323,334.94156,483.85538,705.3478,697.2269,548.1498,587.2288,570.93286
788400,991.3628,496.21802,336.2878,483.20618,693.2248,685.5298,542.0532,577.2275,560.87787
792000,995.4054,495.4077,337.37662,483.4088,689.83325,676.71893,538.5883,569.09247,557.9434
795600,997.62305,494.7201,337.14835,482.30786,690.0266,669.54193,535.37823,562.722,557.2416
799200,992.6348,492.4603,333.62137,476.5186,688.84644,661.52563,529.79584,556.4078,554.6716
802800,984.5195,489.60812,328.89517,469.62424,687.0053,653.4266,523.61444,550.82745,550.81604
806400,976.70447,486.80173,324.57364,465.85202,682.7177,646.03436,517.8361,548.79144,544.16754
810000,1018.1043,481.66568,319.16605,1034.7545,155.79106,577.2964,508.0212,1170.221,89.60026
813600,1183.4397,612.7321,309.68494,262.11758,1076.9818,732.60333,501.8789,102.85284,837.9353
817200,962.08734,608.73956,296.42267,304.70325,1074.2607,730.85913,548.2402,281.57437,847.73553
